133,TAPEBRIDGE_TELLING_RTCPD_NO_MORE_FILES_DUE_TO_RTCPD_ERROR,"Telling rtcpd there are no more files to transfer because rtcpd previously sent an error"
134,TAPEBRIDGE_RECEIVED_RTCP_POSITIONED,"Received an RTCP_POSITIONED message"
135,TAPEBRIDGE_RECEIVED_RTCP_POSITIONED_ERROR,"Received an RTCP_POSITIONED error message"
136,TAPEBRIDGE_RECEIVED_RTCP_FINISHED,"Received an RTCP_FINISHED message"
137,TAPEBRIDGE_RECEIVED_RTCP_FINISHED_ERROR,"Received an RTCP_FINISHED error message"
138,TAPEBRIDGE_ONLY_INITIAL_RTCPD_CONNECTION_OPEN,"The only open connection with rtcpd is the initial connection"
139,TAPEBRIDGE_FAILED_TO_START_RTCPD_SESSION,"Failed to start session with rtcpd"
140,TAPEBRIDGE_FAILED_TO_END_RTCPD_SESSION,"Failed to end session with rtcpd"
141,TAPEBRIDGE_FAILED_TO_NOTIFY_CLIENT_OF_FILE_ERRORS,"Failed to notify client of file-specific errors"
142,TAPEBRIDGE_EXCEPTION_RUNNING_RTCPD_SESSION,"Exception thrown whilst running session with rtcpd-daemon"
143,TAPEBRIDGE_FAILED_TO_CLOSE_INITIAL_RTCPD_CONNECTION,"Failed to close the initial connection with the rtcpd daemon"
144,TAPEBRIDGE_DROPPING_CLIENT_REPLY_RTCPD_CONNECTION_CLOSED,"Dropping client reply as the associated rtcpd-connection has been closed"
145,TAPEBRIDGE_CLOSED_RTCPD_DISK_TAPE_CONNECTION_DUE_TO_ENDOF_REQ,"Closed rtcpd disk/tape IO control connection due to ENDOF_REQ"
146,TAPEBRIDGE_FINISHED_PROCESSING_SOCKETS,"Finished processing sockets"
147,TAPEBRIDGE_RETURNED_FROM_MAIN_SELECT,"Returned from main select"
148,TAPEBRIDGE_TELLING_RTCPD_NO_MORE_FILES_DUE_TO_SHUTTING_DOWN,"Telling rtcpd there are no more files to transfer because the rtcpd session is being shutdown"
